id,min_age,max_age,disease,calorie,difficulty,season,japanese_style,breakfast,lunch,dinner,reason,balance,advice
1,18,29,なし,1800,★,通年,和食,ご飯・納豆・味噌汁・バナナ,鶏むね肉の照り焼き・ご飯・野菜サラダ,鮭の塩焼き・ひじき煮・味噌汁,低脂質なたんぱく質と野菜を確保する献立,たんぱく質★★★★★ 野菜★★★★☆,朝食を欠かさず規則正しい食生活を心掛けましょう
2,18,29,なし,1900,★,春,和食,玄米ご飯・卵焼き・味噌汁・りんご,豚しゃぶサラダ・ご飯,さばの塩焼き・小松菜のおひたし・味噌汁,食物繊維と良質な脂質を補給できる献立,たんぱく質★★★★★ 野菜★★★★★,旬の野菜を積極的に取り入れましょう
3,18,29,なし,2000,★★,夏,和食,ご飯・納豆・豆腐味噌汁・キウイ,鶏肉の冷しゃぶ・ご飯・サラダ,鮭のホイル焼き・野菜炒め,バランスよくエネルギーを確保する献立,たんぱく質★★★★★ 野菜★★★★★,水分補給を意識しましょう
4,18,29,なし,2100,★★,秋,和食,ご飯・焼き鮭・味噌汁・みかん,豚肉と野菜炒め・ご飯,ぶりの照り焼き・ひじき煮・味噌汁,活動量に合わせた標準的な献立,たんぱく質★★★★★ 野菜★★★★☆,"食事量だけでなく栄養バランスを意識しましょう"
5,18,29,なし,2200,★★,冬,和食,ご飯・納豆・卵・味噌汁,鶏もも肉の照り焼き・ご飯・サラダ,鮭のちゃんちゃん焼き・味噌汁,十分なエネルギーと筋肉維持を考えた献立,たんぱく質★★★★★ 野菜★★★★★,運動後はたんぱく質を補給しましょう
6,18,29,なし,2300,★★,通年,洋食,トースト・卵・ヨーグルト・バナナ,チキンソテー・ご飯・サラダ,白身魚のムニエル・野菜スープ,活動量が多い人向けにエネルギーを確保,たんぱく質★★★★☆ 野菜★★★★★,乳製品も適量取り入れましょう
7,18,29,なし,2400,★★★,春,和食,ご飯・納豆・焼き卵・味噌汁,牛肉と野菜炒め・ご飯,鮭の塩焼き・冷奴・野菜煮物,高い活動量を支える栄養量を確保,たんぱく質★★★★★ 野菜★★★★☆,主食量を調整して活動量に合わせましょう
8,18,29,なし,2500,★★★,夏,混合,ご飯・目玉焼き・ヨーグルト,鶏肉カレー・サラダ・ご飯,豚肉の生姜焼き・野菜スープ,消費エネルギーが多い人向けの献立,たんぱく質★★★★★ 野菜★★★★☆,"食べ過ぎではなく必要量を意識しましょう"
9,18,29,なし,2000,★,秋,和食,ご飯・納豆・味噌汁・梨,鮭のおにぎり・野菜サラダ,鶏肉の塩麹焼き・ほうれん草のおひたし,消化に配慮した栄養バランスの良い献立,たんぱく質★★★★☆ 野菜★★★★★,よく噛んで食べる習慣をつけましょう
10,18,29,なし,2100,★★,冬,和食,玄米ご飯・納豆・味噌汁,親子丼・サラダ,さば味噌煮・野菜のおひたし,筋肉維持に必要な栄養素を補給,たんぱく質★★★★★ 野菜★★★★☆,大豆食品を積極的に食べましょう
11,18,29,なし,2200,★★,春,洋食,全粒パン・チーズ・牛乳,鶏肉トマト煮・ご飯,鮭のムニエル・温野菜,ビタミンとたんぱく質を補給する献立,たんぱく質★★★★☆ 野菜★★★★★,加工食品は控えめにしましょう
12,18,29,なし,1900,★,夏,和食,ご飯・しらす・味噌汁・オレンジ,豚しゃぶ・ご飯・サラダ,赤魚の煮付け・冷奴,脂質を抑えた健康的な献立,たんぱく質★★★★☆ 野菜★★★★★,果物も毎日の食事に取り入れましょう
13,18,29,なし,2300,★★,秋,和食,ご飯・卵焼き・味噌汁,鶏肉の照り焼き丼・野菜サラダ,ぶり大根・小松菜のおひたし,エネルギーと栄養素を両立した献立,たんぱく質★★★★★ 野菜★★★★★,魚料理を定期的に取り入れましょう
14,18,29,なし,1800,★,冬,和食,オートミール・牛乳・バナナ,鶏むね肉サラダ・ご飯,豆腐ハンバーグ・味噌汁,低カロリーでも栄養を確保する献立,たんぱく質★★★★☆ 野菜★★★★★,無理な食事制限は避けましょう
15,18,29,なし,2200,★★,通年,中華,ご飯・卵スープ・ヨーグルト,麻婆豆腐・野菜サラダ・ご飯,蒸し魚・野菜炒め,複数の食品群を取り入れた献立,たんぱく質★★★★★ 野菜★★★★☆,油の量を調整しましょう
16,18,29,なし,2100,★★,春,和食,ご飯・納豆・味噌汁・いちご,鶏肉と野菜の甘酢炒め,鮭の塩焼き・ひじき煮,抗酸化食品を含む献立,たんぱく質★★★★★ 野菜★★★★★,旬の食材を楽しみましょう
17,18,29,なし,2400,★★★,夏,洋食,パン・卵・ヨーグルト,ハンバーグ・サラダ・ご飯,魚のグリル・野菜スープ,活動量の高い人向けのエネルギー補給,たんぱく質★★★★★ 野菜★★★★☆,運動量に応じて食事量を調整しましょう
18,18,29,なし,2000,★,秋,和食,ご飯・納豆・味噌汁・りんご,鮭の南蛮漬け・ご飯,豚肉と野菜の炒め物,魚と肉を組み合わせた献立,たんぱく質★★★★★ 野菜★★★★☆,バランスよく食品を選びましょう
19,18,29,なし,2300,★★,冬,和食,ご飯・卵・味噌汁・バナナ,豚肉の生姜焼き・サラダ,鶏肉の鍋料理・ご飯,冬場のエネルギー不足を防ぐ献立,たんぱく質★★★★★ 野菜★★★★★,温かい料理で体調管理しましょう
20,18,29,なし,2200,★★,通年,和食,ご飯・納豆・味噌汁・果物,鶏肉の照り焼き・野菜サラダ,さばの塩焼き・冷奴・味噌汁,基本的な栄養バランスを整えた献立,たんぱく質★★★★★ 野菜★★★★★,毎日3食を意識しましょう
21,18,29,なし,1900,★,春,和食,ご飯・納豆・味噌汁・いちご,鶏むね肉の照り焼き・野菜サラダ・ご飯,さわらの塩焼き・ひじき煮・味噌汁,低脂質なたんぱく質を中心に整えた献立,たんぱく質★★★★★ 野菜★★★★★,朝食でエネルギーを補給しましょう
22,18,29,なし,2000,★★,夏,和食,玄米ご飯・卵焼き・味噌汁・バナナ,豚しゃぶサラダ・ご飯,鮭の南蛮漬け・冷奴,夏場でも栄養を確保できる献立,たんぱく質★★★★☆ 野菜★★★★★,汗をかいた日は水分と塩分を適度に補給しましょう
23,18,29,なし,2100,★★,秋,和食,ご飯・納豆・豆腐味噌汁・りんご,鶏肉の野菜炒め・ご飯,ぶりの照り焼き・ほうれん草のおひたし,主食と主菜のバランスを考えた献立,たんぱく質★★★★★ 野菜★★★★☆,食事時間をできるだけ一定にしましょう
